date,open,high,low,close,volume
2007-01-05,265.65,265.65,265.65,265.65,2946200
2007-01-08,266.61,266.61,266.61,266.61,2518800
2007-01-09,279.15,279.15,279.15,279.15,3640700
2007-01-10,291.2,291.2,291.2,291.2,3414700
2007-01-11,301.03,301.03,301.03,301.03,1950500
2007-01-12,309.28,309.28,309.28,309.28,3134800
2007-01-15,323.25,323.25,323.25,323.25,2982700
2007-01-16,322.8,322.8,322.8,322.8,3213500
2007-01-17,311.24,311.24,311.24,311.24,1496200
2007-01-18,315.93,315.93,315.93,315.93,3210900
2007-01-19,321.55,321.55,321.55,321.55,2773900
2007-01-22,318.9,318.9,318.9,318.9,3089800
2007-01-23,324.82,324.82,324.82,324.82,2297700
2007-01-24,326.2,326.2,326.2,326.2,2475100
2007-01-25,316.59,316.59,316.59,316.59,1966800
2007-01-26,317.62,317.62,317.62,317.62,1783800
2007-01-29,324.2,324.2,324.2,324.2,2098100
2007-01-30,337.26,337.26,337.26,337.26,2844600
2007-01-31,348.48,348.48,348.48,348.48,2949900
2007-02-01,347.36,347.36,347.36,347.36,2725400
2007-02-02,346.72,346.72,346.72,346.72,2638300
2007-02-05,344.29,344.29,344.29,344.29,2854600
2007-02-06,344.29,344.29,344.29,344.29,2652900
2007-02-07,342.58,342.58,342.58,342.58,2937300
2007-02-08,340.22,340.22,340.22,340.22,3080300
2007-02-09,340.22,340.22,340.22,340.22,2703800
2007-02-12,346.93,346.93,346.93,346.93,2146900
2007-02-13,354.61,354.61,354.61,354.61,2204400
2007-02-28,433.79,433.79,433.79,433.79,4556900
2007-03-01,424.68,424.68,424.68,424.68,3360800
2007-03-02,418.88,418.88,418.88,418.88,3102400
2007-03-05,435.58,435.58,435.58,435.58,3356000
2007-03-06,440.52,440.52,440.52,440.52,3786800
2007-03-07,445.8,445.8,445.8,445.8,2994100
2007-03-08,450.77,450.77,450.77,450.77,3323900
2007-03-09,454.81,454.81,454.81,454.81,3819000
2007-03-12,454.75,454.75,454.75,454.75,3965800
2007-03-13,446.95,446.95,446.95,446.95,3770500
2007-03-14,431.77,431.77,431.77,431.77,2665200
2007-03-15,421.33,421.33,421.33,421.33,2026300
2007-03-16,448.39,448.39,448.39,448.39,2797100
2007-03-19,459.36,459.36,459.36,459.36,3973500
2007-03-20,446.11,446.11,446.11,446.11,2932900
2007-03-21,442.97,442.97,442.97,442.97,2183300
2007-03-22,437.27,437.27,437.27,437.27,2153600
2007-03-23,430.1,430.1,430.1,430.1,2294300
2007-03-26,397.16,397.16,397.16,397.16,1661700
2007-03-27,371.94,371.94,371.94,371.94,1579200
2007-03-28,405.18,405.18,405.18,405.18,1971700
2007-03-29,407.5,407.5,407.5,407.5,1636000
2007-03-30,404.08,404.08,404.08,404.08,2889500
2007-04-02,391.77,391.77,391.77,391.77,1363600
2007-04-03,385.22,385.22,385.22,385.22,1230500
2007-04-04,400.51,400.51,400.51,400.51,1091100
2007-04-05,393.02,393.02,393.02,393.02,1419900
2007-04-06,398.68,398.68,398.68,398.68,1632600
2007-04-09,400.94,400.94,400.94,400.94,1303700
2007-04-10,405.17,405.17,405.17,405.17,1172800
2007-04-11,404.81,404.81,404.81,404.81,1047300
2007-04-12,394.13,394.13,394.13,394.13,1217400
2007-04-13,392.09,392.09,392.09,392.09,1415000
2007-04-16,366.18,366.18,366.18,366.18,1316100
2007-04-17,365.55,365.55,365.55,365.55,1793500
2007-04-18,385.57,385.57,385.57,385.57,1299800
2007-04-19,374.39,374.39,374.39,374.39,1581100
2007-04-20,365.56,365.56,365.56,365.56,1019400
2007-04-23,321.44,321.44,321.44,321.44,1228800
2007-04-24,319.51,319.51,319.51,319.51,1191500
2007-04-25,332.79,332.79,332.79,332.79,1429900
2007-05-02,329.24,329.24,329.24,329.24,952300
2007-05-03,323.49,323.49,323.49,323.49,744100
2007-05-04,319.37,319.37,319.37,319.37,694800
2007-05-07,327.15,327.15,327.15,327.15,1234400
2007-05-08,331.2,331.2,331.2,331.2,1466500
2007-05-09,334.16,334.16,334.16,334.16,1335700
2007-05-10,331.07,331.07,331.07,331.07,920500
2007-05-11,335.48,335.48,335.48,335.48,1271900
2007-05-14,338.09,338.09,338.09,338.09,1654100
2007-05-15,337.21,337.21,337.21,337.21,1612900
2007-05-16,334.58,334.58,334.58,334.58,1118800
2007-05-17,337.15,337.15,337.15,337.15,1547700
2007-05-18,337.87,337.87,337.87,337.87,2091900
2007-05-21,340.37,340.37,340.37,340.37,1661500
2007-05-22,347.29,347.29,347.29,347.29,2580300
2007-05-23,348.32,348.32,348.32,348.32,3252700
2007-05-24,343.86,343.86,343.86,343.86,1430300
2007-05-25,346.67,346.67,346.67,346.67,1800200
2007-05-28,343.14,343.14,343.14,343.14,1822300
2007-05-29,340.89,340.89,340.89,340.89,1866900
2007-05-30,335.84,335.84,335.84,335.84,1551900
2007-05-31,337.27,337.27,337.27,337.27,1299300
2007-06-01,336.32,336.32,336.32,336.32,1448100
2007-06-04,330.33,330.33,330.33,330.33,1021900
2007-06-05,327.48,327.48,327.48,327.48,1600400
2007-06-06,328.81,328.81,328.81,328.81,1608900
2007-06-07,328.75,328.75,328.75,328.75,1300700
2007-06-08,327.65,327.65,327.65,327.65,1561500
2007-06-11,322.31,322.31,322.31,322.31,1220200
2007-06-12,317.98,317.98,317.98,317.98,1606600
2007-06-13,313.04,313.04,313.04,313.04,995900
2007-06-14,315.87,315.87,315.87,315.87,1071800
2007-06-15,313.47,313.47,313.47,313.47,1167800
2007-06-18,315.2,315.2,315.2,315.2,1056600
2007-06-19,313.14,313.14,313.14,313.14,1120100
2007-06-20,309.89,309.89,309.89,309.89,1000300
2007-06-21,302.86,302.86,302.86,302.86,1036300
2007-06-22,299.77,299.77,299.77,299.77,907400
2007-06-25,295.92,295.92,295.92,295.92,908000
2007-06-26,295.4,295.4,295.4,295.4,931200
2007-06-27,293.14,293.14,293.14,293.14,799800
2007-06-28,289.65,289.65,289.65,289.65,947600
2007-06-29,284.7,284.7,284.7,284.7,1128800
2007-07-02,256.3,256.3,256.3,256.3,1178200
2007-07-03,252.61,252.61,252.61,252.61,1353300
2007-07-04,267.92,267.92,267.92,267.92,1457700
2007-07-05,263.53,263.53,263.53,263.53,950700
2007-07-06,268.13,268.13,268.13,268.13,871900
2007-07-09,270.74,270.74,270.74,270.74,1010100
2007-07-10,282.04,282.04,282.04,282.04,1621700
2007-07-11,282.46,282.46,282.46,282.46,1278300
2007-07-12,273.67,273.67,273.67,273.67,798300
2007-07-13,277.37,277.37,277.37,277.37,686000
2007-07-16,270.59,270.59,270.59,270.59,891800
2007-07-17,272.25,272.25,272.25,272.25,701100
2007-07-18,269.84,269.84,269.84,269.84,672100
2007-07-19,268.05,268.05,268.05,268.05,697600
2007-07-20,267.42,267.42,267.42,267.42,768900
2007-07-23,267.06,267.06,267.06,267.06,742100
2007-07-24,264.88,264.88,264.88,264.88,585300
2007-07-25,263.24,263.24,263.24,263.24,840000
2007-07-26,259.46,259.46,259.46,259.46,714500
2007-07-27,258.84,258.84,258.84,258.84,773500
2007-07-30,255.2,255.2,255.2,255.2,944200
2007-07-31,253.57,253.57,253.57,253.57,1520300
2007-08-01,260,260,260,260,1081900
2007-08-02,258.52,258.52,258.52,258.52,1260100
2007-08-03,255.95,255.95,255.95,255.95,825200
2007-08-06,254.47,254.47,254.47,254.47,993400
2007-08-07,256.11,256.11,256.11,256.11,1028300
2007-08-08,254.75,254.75,254.75,254.75,603100
2007-08-09,259.06,259.06,259.06,259.06,1322000
2007-08-10,257.34,257.34,257.34,257.34,1359700
2007-08-13,254.48,254.48,254.48,254.48,780800
2007-08-14,254.24,254.24,254.24,254.24,915400
2007-08-15,254.05,254.05,254.05,254.05,762700
2007-08-16,252.35,252.35,252.35,252.35,965300
2007-08-17,249.4,249.4,249.4,249.4,778900
2007-08-20,248.83,248.83,248.83,248.83,689700
2007-08-21,248.8,248.8,248.8,248.8,732600
2007-08-22,246.47,246.47,246.47,246.47,828100
2007-08-23,247.37,247.37,247.37,247.37,972200
